Date,Open,High,Low,Close,Adj Close,Volume
2020-12-09,79.699997,82.250000,78.500000,80.050003,78.049255,753051
2020-12-10,79.000000,79.800003,76.500000,77.500000,75.562981,729289
2020-12-11,77.949997,80.550003,77.599998,78.500000,76.537987,427559
2020-12-14,79.000000,79.900002,76.800003,77.949997,76.001732,436340
2020-12-15,77.000000,79.000000,76.699997,77.550003,75.611732,771072
2020-12-16,78.199997,79.199997,76.500000,76.750000,74.831734,441879
2020-12-17,77.400002,83.099998,77.400002,82.500000,80.438019,2609462
2020-12-18,83.750000,89.250000,83.000000,86.400002,84.240547,4653055
2020-12-21,87.250000,88.349998,78.000000,81.099998,79.073006,1658453
2020-12-22,81.000000,83.000000,77.000000,82.000000,79.950508,1037647
2020-12-23,83.000000,84.349998,81.699997,83.849998,81.754272,419701
2020-12-24,84.849998,87.099998,81.099998,83.650002,81.559273,641401
2020-12-28,83.000000,85.000000,83.000000,84.400002,82.290527,273014
2020-12-29,84.400002,85.849998,82.599998,83.400002,81.315521,445787
2020-12-30,83.400002,87.800003,82.199997,86.699997,84.533035,1431439
2020-12-31,86.900002,88.699997,86.000000,86.949997,84.776787,952846
2021-01-01,87.500000,88.500000,86.599998,87.550003,85.361801,539392
2021-01-04,88.300003,91.000000,87.300003,89.099998,86.873055,1214795
2021-01-05,88.500000,90.500000,87.199997,89.150002,86.921806,657066
2021-01-06,89.150002,90.250000,83.800003,87.849998,85.654289,598495
2021-01-07,88.550003,91.199997,88.150002,89.300003,87.068062,1148603
2021-01-08,90.000000,90.800003,88.050003,89.000000,86.775558,753812
2021-01-11,89.300003,89.300003,84.000000,85.449997,83.314285,811956
2021-01-12,85.500000,87.199997,85.500000,86.050003,83.899292,501647
2021-01-13,87.000000,87.550003,85.500000,86.599998,84.435539,285559
2021-01-14,86.599998,87.199997,84.400002,84.800003,82.680534,403696
2021-01-15,85.800003,85.949997,81.199997,82.050003,79.999268,722174
2021-01-18,83.900002,83.900002,79.000000,80.800003,78.780502,336089
2021-01-19,82.900002,83.699997,80.800003,82.900002,80.828018,223307
2021-01-20,82.699997,84.500000,82.300003,83.349998,81.266769,345374
2021-01-21,84.500000,85.000000,82.599998,83.300003,81.218018,260345
2021-01-22,83.900002,84.349998,80.449997,81.699997,79.658005,259168
2021-01-25,83.900002,84.900002,80.250000,82.900002,80.828018,846127
2021-01-27,82.500000,84.500000,78.550003,80.199997,78.195496,813542
2021-01-28,80.000000,83.699997,79.400002,82.449997,80.389259,310273
2021-01-29,85.000000,87.000000,83.599998,84.550003,82.436775,1299197
2021-02-01,86.949997,88.000000,83.000000,86.949997,84.776787,709443
2021-02-02,88.900002,94.750000,87.400002,93.349998,91.016830,3029698
2021-02-03,94.300003,95.250000,91.099998,91.500000,89.213066,1034721
2021-02-04,92.199997,95.849998,91.500000,94.750000,92.381844,1030999
2021-02-05,95.099998,95.449997,91.699997,92.500000,90.188080,563162
2021-02-08,93.000000,94.199997,92.099998,93.250000,91.413460,407137
2021-02-09,93.050003,93.449997,90.000000,90.550003,88.766632,375735
2021-02-10,90.550003,92.000000,88.250000,89.949997,88.178444,475880
2021-02-11,89.949997,91.349998,89.199997,89.750000,87.982391,295371
2021-02-12,90.150002,91.500000,87.500000,88.300003,86.560951,450151
2021-02-15,88.300003,95.599998,88.300003,94.849998,92.981949,2226036
2021-02-16,95.500000,99.500000,95.449997,96.000000,94.109299,1672356
2021-02-17,95.400002,98.650002,95.199997,96.050003,94.158318,646555
2021-02-18,95.599998,96.400002,92.300003,93.500000,91.658539,725527
2021-02-19,93.500000,94.800003,89.699997,91.849998,90.041031,488524
2021-02-22,91.500000,93.000000,89.000000,89.900002,88.129440,372305
2021-02-23,90.400002,92.650002,89.949997,90.699997,88.913681,215935
2021-02-24,91.150002,92.500000,90.000000,91.650002,89.844971,115391
2021-02-25,92.199997,95.800003,92.199997,94.250000,92.393761,742703
2021-02-26,94.000000,94.500000,91.099998,91.800003,89.992020,934543
2021-03-01,93.000000,96.500000,92.500000,94.400002,92.540817,662688
2021-03-02,95.400002,98.000000,95.050003,96.300003,94.403389,752165
2021-03-03,97.500000,100.500000,97.500000,99.849998,97.883476,1142783
2021-03-04,98.900002,113.500000,97.449997,110.500000,108.323723,4782275
2021-03-05,111.500000,114.000000,103.500000,104.250000,102.196815,2014990
2021-03-08,105.500000,107.449997,103.000000,103.900002,101.853714,469404
2021-03-09,105.300003,107.900002,102.300003,104.599998,102.539925,581299
2021-03-10,105.400002,107.000000,97.300003,102.250000,100.236214,471273
2021-03-12,103.900002,104.599998,99.400002,102.199997,100.187187,659385
2021-03-15,103.099998,103.099998,98.500000,100.400002,98.422646,366065
2021-03-16,101.400002,104.800003,100.000000,103.699997,101.657646,573855
2021-03-17,105.150002,107.650002,99.599998,100.550003,98.569695,922331
2021-03-18,101.900002,104.000000,95.599998,96.150002,94.256348,879631
2021-03-19,96.000000,98.500000,93.000000,97.800003,95.873848,590182
2021-03-22,97.800003,99.500000,95.750000,97.949997,96.020889,411568
